업소명,동,아메리카노,경도,위도,근처 카페 수,면적,동,동 면적,인구,동 카페 수
달자카페,11,4000,126.3797516,33.48353738,1,149.1,6,2.5,"36,660",16
설빙제주칠성통점,6,3500,126.5255793,33.51383619,7,236.68,12,150.68,"24,531",9
카페아꼬떼,12,0,126.7108993,33.45720614,0,79.38,14,185.93,"15,651",12
퀸즈브라운월정리점,14,5000,126.7999264,33.55494158,1,102.12,3,12.3,"41,522",25
파스쿠찌제주제원점,3,4000,126.4960781,33.47577162,1,222.64,15,79.1,"9,065",4
바람아래,15,4000,126.2017045,33.36319864,0,66,4,70.48,"34,357",27
카페헤이브라운,4,3500,126.541136,33.47212337,1,152.71,18,8.41,"21,660",1
바빈스커피제주외도점,18,2800,126.4313813,33.48713649,0,109.04,3,12.3,"41,522",25
요거프레소신제주점,3,3000,126.4882277,33.48122363,3,82.57,11,202.16,"36,110",21
홍요깃거리애월점,11,4000,126.3469247,33.47248332,0,36,11,202.16,"36,110",21
엔제리너스제주애월점,11,4300,126.3409485,33.46956072,1,325.48,4,70.48,"34,357",27
과일아삭아라점,4,2500,126.5443097,33.47460227,2,74.61,15,79.1,"9,065",4
사우다드,15,3500,126.1640872,33.30800619,0,7.3,1,6.26,"57,748",41
파스쿠찌종합청사점,1,4000,126.5235745,33.48957481,0,142.66,3,12.3,"41,522",25
엔제리너스한라수목원점,3,4300,126.4919347,33.47055264,0,179.82,14,185.93,"15,651",12
송당나무,14,3000,126.7842875,33.47133634,1,24.77,14,185.93,"15,651",12
친절한비자씨,14,3500,126.8103379,33.49178223,0,51.34,13,91.09,"21,388",7
앤트러사이트,13,5000,126.2579251,33.40734908,0,282.13,3,12.3,"41,522",25
리치망고신제주점,3,3500,126.4896259,33.4805541,3,29.04,1,6.26,"57,748",41
제주중앙여고점빽다방,1,1500,126.5411015,33.48996079,3,59.43,4,70.48,"34,357",27
스톤브로스,4,4000,126.543399,33.4782739,0,152.9,14,185.93,"15,651",12
리치망고하도리점,14,3500,126.8892227,33.52711824,0,33.2,11,202.16,"36,110",21
하소로커피,11,4000,126.3910076,33.45081268,0,64.05,11,202.16,"36,110",21
인디고인디드,11,4500,126.3340861,33.46639609,1,144.85,6,2.5,"36,660",16
스타벅스제주칠성점,6,4100,126.5252442,33.51334995,8,388.9,1,6.26,"57,748",41
고스란히,1,4000,126.5351254,33.48844536,4,43,19,47.34,"5,236",1
카페퐁낭,19,2500,126.6177482,33.44982623,0,108.44,6,2.5,"36,660",16
제주스,6,3000,126.5268215,33.51275915,6,17.96,13,91.09,"21,388",7
